2025-12-21 01:15:08 startup archives unpack
2025-12-21 01:15:08 install netbase:all <none> 6.3
2025-12-21 01:15:08 status half-installed netbase:all 6.3
2025-12-21 01:15:08 status unpacked netbase:all 6.3
2025-12-21 01:15:09 install telnet:amd64 <none> 0.17-42
2025-12-21 01:15:09 status half-installed telnet:amd64 0.17-42
2025-12-21 01:15:09 status unpacked telnet:amd64 0.17-42
2025-12-21 01:15:09 install libmd0:amd64 <none> 1.0.3-3
2025-12-21 01:15:09 status triggers-pending libc-bin:amd64 2.31-13+deb11u7
2025-12-21 01:15:09 status half-installed libmd0:amd64 1.0.3-3
2025-12-21 01:15:09 status unpacked libmd0:amd64 1.0.3-3
2025-12-21 01:15:09 install libbsd0:amd64 <none> 0.11.3-1+deb11u1
2025-12-21 01:15:09 status half-installed libbsd0:amd64 0.11.3-1+deb11u1
2025-12-21 01:15:09 status unpacked libbsd0:amd64 0.11.3-1+deb11u1
2025-12-21 01:15:09 install netcat-openbsd:amd64 <none> 1.217-3
2025-12-21 01:15:09 status half-installed netcat-openbsd:amd64 1.217-3
2025-12-21 01:15:09 status unpacked netcat-openbsd:amd64 1.217-3
2025-12-21 01:15:09 startup packages configure
2025-12-21 01:15:09 configure libmd0:amd64 1.0.3-3 <none>
2025-12-21 01:15:09 status unpacked libmd0:amd64 1.0.3-3
2025-12-21 01:15:09 status half-configured libmd0:amd64 1.0.3-3
2025-12-21 01:15:09 status installed libmd0:amd64 1.0.3-3
2025-12-21 01:15:09 configure netbase:all 6.3 <none>
2025-12-21 01:15:09 status unpacked netbase:all 6.3
2025-12-21 01:15:09 status half-configured netbase:all 6.3
2025-12-21 01:15:10 status installed netbase:all 6.3
2025-12-21 01:15:10 configure libbsd0:amd64 0.11.3-1+deb11u1 <none>
2025-12-21 01:15:10 status unpacked libbsd0:amd64 0.11.3-1+deb11u1
2025-12-21 01:15:10 status half-configured libbsd0:amd64 0.11.3-1+deb11u1
2025-12-21 01:15:10 status installed libbsd0:amd64 0.11.3-1+deb11u1
2025-12-21 01:15:10 configure telnet:amd64 0.17-42 <none>
2025-12-21 01:15:10 status unpacked telnet:amd64 0.17-42
2025-12-21 01:15:10 status half-configured telnet:amd64 0.17-42
2025-12-21 01:15:10 status installed telnet:amd64 0.17-42
2025-12-21 01:15:10 configure netcat-openbsd:amd64 1.217-3 <none>
2025-12-21 01:15:10 status unpacked netcat-openbsd:amd64 1.217-3
2025-12-21 01:15:10 status half-configured netcat-openbsd:amd64 1.217-3
2025-12-21 01:15:10 status installed netcat-openbsd:amd64 1.217-3
2025-12-21 01:15:10 trigproc libc-bin:amd64 2.31-13+deb11u7 <none>
2025-12-21 01:15:10 status half-configured libc-bin:amd64 2.31-13+deb11u7
2025-12-21 01:15:10 status installed libc-bin:amd64 2.31-13+deb11u7
